dis ; ang ; K_true ; K_estim ; dist_estim
5 ; 0 ; 0.16881457276724396 ; 0.1650297544684507 ; 5.0 ; 4.951688426602992
5 ; 0 ; 0.16932672215177635 ; 0.16539435957520984 ; 5.0 ; 4.949658158056014
5 ; 0 ; 0.16942769810841546 ; 0.1694774519549878 ; 5.0 ; 5.008679278901593
5 ; 0 ; 0.16889490968997817 ; 0.16279676477576338 ; 5.0 ; 4.916949782864917
5 ; 0 ; 0.16914081812520623 ; 0.17672890794033952 ; 5.0 ; 5.118817970152743
5 ; 0 ; 0.16915327277260808 ; 0.16950665794658873 ; 5.0 ; 5.013213248066908
10 ; 0 ; 0.16896215828344782 ; 0.1748409786369078 ; 10.0 ; 10.176366663436019
10 ; 0 ; 0.16931117652816247 ; 0.15055619180497604 ; 10.0 ; 9.43422132749181
10 ; 0 ; 0.16896727368844436 ; 0.16860619597940196 ; 10.0 ; 9.993060556343545
10 ; 0 ; 0.16922446622523013 ; 0.16220703742298404 ; 10.0 ; 9.794321489956571
10 ; 0 ; 0.1697011172486818 ; 0.17703612781820852 ; 10.0 ; 10.217651162055457
10 ; 0 ; 0.16891375852843354 ; 0.1547592268727022 ; 10.0 ; 9.575917738185801
10 ; 0 ; 0.16885255770307653 ; 0.1512605266517871 ; 10.0 ; 9.468961389423187
10 ; 0 ; 0.1693881762520965 ; 0.16912259419650086 ; 10.0 ; 9.995990686628623
10 ; 0 ; 0.16889321488200273 ; 0.16477717731369065 ; 10.0 ; 9.881402162771323
10 ; 0 ; 0.1690750847595471 ; 0.14572417903698529 ; 10.0 ; 9.287950551364874
10 ; 0 ; 0.16923558918042983 ; 0.1615629338718762 ; 10.0 ; 9.774722194567577
10 ; 0 ; 0.16905758746411287 ; 0.15269776643629931 ; 10.0 ; 9.50792580871844
10 ; 0 ; 0.16901032126911175 ; 0.16204043248360775 ; 10.0 ; 9.795649843567451
10 ; 0 ; 0.1691002763182258 ; 0.15187794855407877 ; 10.0 ; 9.481240509046458
10 ; 0 ; 0.16953775964419993 ; 0.15857649804656085 ; 10.0 ; 9.675476220479819
10 ; 0 ; 0.1692105575473769 ; 0.15489260453517792 ; 10.0 ; 9.57145258518789
10 ; 0 ; 0.16914698518531165 ; 0.17380261866311117 ; 10.0 ; 10.140727552170478
10 ; 0 ; 0.1688382399071597 ; 0.15801156191093627 ; 10.0 ; 9.678070444521286
10 ; 0 ; 0.16954693839370055 ; 0.15973828145780344 ; 10.0 ; 9.71041216750953
10 ; 0 ; 0.16894411951815172 ; 0.14936381373230048 ; 10.0 ; 9.40694031241717
20 ; 0 ; 0.1690136191905495 ; 0.1610102373702609 ; 20.0 ; 19.52252763097158
20 ; 0 ; 0.16906704834872943 ; 0.1516920980300942 ; 20.0 ; 18.94638892302769
20 ; 0 ; 0.16890183430075006 ; 0.13358307283111145 ; 20.0 ; 17.788399865749955
20 ; 0 ; 0.16983648229071946 ; 0.21389585435144856 ; 20.0 ; 22.446580006052912
20 ; 0 ; 0.16999914472200567 ; 0.12438804340871461 ; 20.0 ; 17.11007807848863
20 ; 0 ; 0.16995214386932578 ; 0.0977343915253634 ; 20.0 ; 15.1690472632968
20 ; 0 ; 0.17045872720993163 ; 0.1224981725838409 ; 20.0 ; 16.95630092483446
20 ; 0 ; 0.1694350347983028 ; 0.1793209792448242 ; 20.0 ; 20.577015826235346
20 ; 0 ; 0.16916241608002047 ; 0.12493888343450285 ; 20.0 ; 17.19024226700174
20 ; 0 ; 0.169298851594961 ; 0.1100248595821749 ; 20.0 ; 16.12564789215058
20 ; 0 ; 0.16974289951856855 ; 0.1150954391776177 ; 20.0 ; 16.471002531269804
20 ; 0 ; 0.16903452907856822 ; 0.1385396383963618 ; 20.0 ; 18.108495532710688
20 ; 0 ; 0.1682640110757999 ; 0.11117719987031911 ; 20.0 ; 16.259467474766513
20 ; 0 ; 0.16985108574152077 ; 0.11799658025830277 ; 20.0 ; 16.672147702969845
20 ; 0 ; 0.17114505912008637 ; 0.15819208782202232 ; 20.0 ; 19.230624218405406
20 ; 0 ; 0.1694459781986455 ; 0.14909251147420965 ; 20.0 ; 18.762320967470732
20 ; 0 ; 0.16980683428112445 ; 0.16510165173560135 ; 20.0 ; 19.722900034577265
20 ; 0 ; 0.169314575209914 ; 0.14331196284033998 ; 20.0 ; 18.402244686969944
20 ; 0 ; 0.16944858971228063 ; 0.17800057235174077 ; 20.0 ; 20.50076425861682
20 ; 0 ; 0.17034887757887596 ; 0.16137142940721125 ; 20.0 ; 19.467836003582644
40 ; 0 ; 0.169079437049446 ; 0.05465034529145567 ; 40.0 ; 22.74286719485425
40 ; 0 ; 0.1720374579877944 ; 0.03564172703645233 ; 40.0 ; 18.20955266356294
40 ; 0 ; 0.17150921267648087 ; 0.04941681594933375 ; 40.0 ; 21.473467670145514
40 ; 0 ; 0.17246702934550054 ; 0.022428539082358503 ; 40.0 ; 14.428776997907582
40 ; 0 ; 0.17410498012985717 ; 0.04954449853517379 ; 40.0 ; 21.340439110394456
40 ; 0 ; 0.17214704168302541 ; 0.02425146901775946 ; 40.0 ; 15.015853123106059
40 ; 0 ; 0.17352151561511722 ; 0.11857059212032595 ; 40.0 ; 33.067547136303844
40 ; 0 ; 0.17253352444991338 ; 0.02141860574922814 ; 40.0 ; 14.10465043105781
40 ; 0 ; 0.17056475061323226 ; 0.09694018432565031 ; 40.0 ; 30.158896574124523
40 ; 0 ; 0.17091089048642202 ; 0.07799008040418745 ; 40.0 ; 27.024315908000624
40 ; 0 ; 0.1714312235075602 ; 0.027199993815053367 ; 40.0 ; 15.937684767922406
40 ; 0 ; 0.17152897033099246 ; 0.043249710508779536 ; 40.0 ; 20.089173756769878
40 ; 0 ; 0.17073386658995449 ; 0.02225796816072739 ; 40.0 ; 14.445729267236064
40 ; 0 ; 0.17161914432866548 ; 0.06314141356649576 ; 40.0 ; 24.26697708849172
40 ; 0 ; 0.1728017462044078 ; 0.04275757838366305 ; 40.0 ; 19.90020609386478
40 ; 0 ; 0.17077762198271174 ; 0.04852051031273574 ; 40.0 ; 21.324219918052048
40 ; 0 ; 0.1508283194095681 ; 0.0093561345703631 ; 40.0 ; 29.210622318005946
40 ; 0 ; 0.15018228803838812 ; 0.021087896736278387 ; 40.0 ; 43.58983537469108
40 ; 0 ; 0.17214132092675233 ; 0.037380776659362014 ; 40.0 ; 18.64219744835397
40 ; 0 ; 0.1721839893226341 ; 0.03928546086759342 ; 40.0 ; 19.110871822282675
60 ; 0 ; 0.154733955913044 ; 0.008532358774955753 ; 60.0 ; 40.34615188000467
60 ; 0 ; 0.17595879262557884 ; 0.01428882570820542 ; 60.0 ; 17.102425366105194
60 ; 0 ; 0.17855401750436356 ; 0.008832562559046818 ; 60.0 ; 13.355746190129723
60 ; 0 ; 0.1798009022999475 ; 0.01520139298519989 ; 60.0 ; 17.448353589265498
60 ; 0 ; 0.17323256940172324 ; 0.010065895241462518 ; 60.0 ; 14.468205278049098
60 ; 0 ; 0.17363293425521653 ; 0.008122430760726683 ; 60.0 ; 12.981539144768579
60 ; 0 ; 0.13071132292776186 ; 0.003719972441595921 ; 60.0 ; 55.08527975054278
60 ; 0 ; 0.174201109882498 ; 0.00679752500941109 ; 60.0 ; 11.858523132349816
60 ; 0 ; 0.1317856267181834 ; 0.0004266573440218665 ; 60.0 ; 15.695047233236672
60 ; 0 ; 0.1547423391704094 ; 0.027137298655767653 ; 60.0 ; 94.53317487253828
60 ; 0 ; 0.16104738671693794 ; 0.001521028852924695 ; 60.0 ; 17.285040075734862
60 ; 0 ; 0.15129841247902745 ; 0.007620866007481103 ; 60.0 ; 42.72503467699759
