arr ; signal ; dist ; angle ; pNoise ; pSigna ; snr_DB ; K_True ; K_Estim ; Dist_Estim
A4 ; SX ; 40 ; 00 ; [1.1036682835886032e-05, 1.5339448124595662e-05, 1.2235244294624793e-05, 1.532575451305595e-05, 1.3517473464933383e-05, 1.7472354892019348e-05, 1.742577881331471e-05, 1.4942496512257268e-05] ; [0.000319914073066545, 0.00021460286672323275, 0.00024154739758967117, 0.0003109725150505943, 0.0002995075994548064, 0.0003312268284947012, 0.00017816462695284318, 0.0002261732665485687] ; [33.66827910132807, 26.30282211439251, 29.79640285295787, 29.942045772021338, 30.908210461007762, 29.23416340821256, 22.972971694611772, 27.05316385938632] ; 0.42380983761325913 ; 0.013591689140999248 ; 40.0 ; 7.27716965584397
A4 ; SX ; 40 ; 22,5 ; [7.68868286993971e-06, 9.220181766139215e-06, 8.611078368727755e-06, 1.125835687462133e-05, 9.757564911876107e-06, 1.132937162844102e-05, 1.167730407948298e-05, 1.0707705230606186e-05] ; [0.00020237674617664534, 0.00024722205007885075, 0.00017465671904953823, 0.0001758006009457086, 0.00013863816041640277, 0.0002175497129308895, 0.0002279631625386456, 0.0001909526183399308] ; [32.703815498248794, 32.846848616251336, 30.06751033561973, 27.274439002890357, 26.423614732592178, 29.365033661766358, 29.572492875041988, 28.710758027645245] ; 0.31514351520167655 ; 0.025594866451778008 ; 40.0 ; 11.525011502312996
A4 ; SX ; 40 ; 45 ; [7.803157385302337e-06, 1.0037552818110271e-05, 8.733524864282119e-06, 1.2029878720020816e-05, 9.82738112060184e-06, 1.2226874637174714e-05, 1.1689338357674205e-05, 9.923787157817096e-06] ; [0.0002387334817443513, 0.00019604866126081793, 0.0003098697100956692, 0.00030393481397603464, 0.000177659224760729, 0.00017422355171990838, 0.00016015034876873505, 0.0002572447012752459] ; [34.20819345779809, 29.662491672755436, 35.672565110696375, 32.16617999937763, 28.856965479759715, 26.316567961623576, 25.970151091421265, 32.48234004985833] ; 0.36341819405015546 ; 0.012005447468456321 ; 40.0 ; 7.429669590449734
A4 ; SX ; 40 ; 67,5 ; [1.0826278306810024e-05, 1.4516701079618899e-05, 1.264460496536143e-05, 1.8617614158550078e-05, 1.4181785633353658e-05, 1.9152729616367143e-05, 1.9577296251832127e-05, 1.4884129749287196e-05] ; [0.00012962100502088308, 0.00017067385206355967, 0.00016552745839146848, 0.0001230370364593851, 0.0001896069996677272, 0.00020908964134425998, 0.0002933886530334561, 0.00027741279540739267] ; [24.826384912581474, 24.548334979350635, 25.67220507786233, 18.385253790252293, 25.80808705015429, 23.57500059501956, 26.88475163820406, 29.156585281135836] ; 0.3123964925198809 ; 0.006429349137732394 ; 40.0 ; 5.938156800152115
A4 ; SX ; 40 ; 90 ; [7.328651111456161e-06, 8.915692379071169e-06, 8.695636579981293e-06, 1.047960276285897e-05, 8.641610071488743e-06, 1.1310664289892982e-05, 1.0889467025439726e-05, 9.46296862122574e-06] ; [0.00014533115933562524, 0.00016866804444913046, 0.00015178164608497494, 0.0002665282540788848, 0.00029777001656287183, 0.0001638804422351625, 0.0002679556129453756, 0.0003971002167756727] ; [29.87223519898667, 29.341512581751587, 28.561093090143178, 32.23332812188729, 35.35021763817244, 26.487646911171517, 31.917070156938866, 37.325710190900885] ; 0.3710562739713372 ; 0.006117071059672439 ; 40.0 ; 5.374218686584247
A4 ; SX ; 60 ; 00 ; [1.0611847108280885e-05, 1.3178419987504574e-05, 1.0840689218401444e-05, 1.6458906440299587e-05, 1.2833974612065427e-05, 1.7762076648758782e-05, 1.659943658231899e-05, 1.3912801511713204e-05] ; [0.0001719779610098312, 0.00018289042667120158, 9.275232076543729e-05, 0.00020638541209188897, 0.00020480886542601577, 0.0001632029454333738, 0.00016138858382117074, 0.00017326088929334077] ; [27.85395306204937, 26.221618061611977, 21.394476286760494, 25.02915227721591, 27.597817484539352, 21.788145248040344, 22.455485331407058, 25.0765821037724] ; 0.61081224607451 ; 0.021987566302161633 ; 60.0 ; 11.611977671978979
A4 ; SX ; 60 ; 22,5 ; [1.2916787516950829e-05, 1.4130175769557233e-05, 1.3507761420179397e-05, 1.5808340609712308e-05, 1.337855137541089e-05, 1.843160070430402e-05, 1.696842845154219e-05, 1.518505381011242e-05] ; [7.166728822780141e-05, 0.0001047396905248417, 0.00011886892303488998, 6.577703035699732e-05, 0.00010587828514058869, 0.00014048984226893905, 9.669657623187822e-05, 0.0001352311157839086] ; [17.135065891295, 19.87861888427248, 21.67778259601565, 13.4535015247092, 20.479627625020925, 19.83724875356146, 16.90405473130254, 21.665758888083985] ; 0.37828535699602617 ; 0.010029031432153812 ; 60.00000000000001 ; 10.015691463223204
A4 ; SX ; 60 ; 45 ; [2.1435483987102027e-05, 2.7235669231122826e-05, 2.5150076235802706e-05, 2.8220400764141912e-05, 2.5744624705186733e-05, 3.0979505782270825e-05, 2.4135586815444657e-05, 2.5504332122544163e-05] ; [0.00015458319854395593, 0.00014991839167702498, 0.00013301266294731584, 0.00011948378856879409, 0.00010154883613901176, 0.00011987210534286972, 8.718808850882693e-05, 0.00015761428944434847] ; [19.756847742143034, 16.849002397316358, 16.539443933919774, 13.641956822815127, 13.303924567170638, 12.57592690640277, 12.04619686672209, 17.922106773232155] ; 0.4596535804900558 ; 0.010263856294467489 ; 60.00000000000001 ; 9.087718150130843
A4 ; SX ; 60 ; 67,5 ; [1.2337704115433092e-05, 1.4729611266850124e-05, 1.4107781572830458e-05, 1.7761308968357007e-05, 1.480629867075412e-05, 1.9472932179579078e-05, 1.9727370889853554e-05, 1.639013941618458e-05] ; [6.97337389235302e-05, 0.000124736197676973, 9.64579157577958e-05, 5.037518976837392e-05, 6.94428232838732e-05, 6.673965233185897e-05, 0.00014122974695722024, 0.00013228057843545272] ; [17.32024310875327, 21.22958657049811, 19.133890972846217, 9.22215486835229, 15.1031273163821, 11.232556064172915, 19.28929286219349, 20.660455550025894] ; 0.33790665496602024 ; 0.0019349756529253234 ; 60.00000000000001 ; 4.759008994441404
A4 ; SX ; 60 ; 90 ; [7.44226178392088e-06, 9.088550515541031e-06, 8.489667133536796e-06, 1.1127868254890452e-05, 8.678182850282198e-06, 1.2512929969270006e-05, 1.1968897716538599e-05, 9.918232473477665e-06] ; [5.547946484749898e-05, 0.00011252752951395408, 9.835060114549519e-05, 0.00010914043278013778, 7.558944039779341e-05, 0.00018348809865192256, 0.00021500493628280522, 0.00016099901148068567] ; [20.088381436761583, 25.07048558393904, 24.443921299903877, 22.49866714294503, 21.457376282826228, 26.61058123368829, 28.72812872548248, 27.76047519815217] ; 0.4550691083448372 ; 0.0013745729360086574 ; 60.0 ; 3.5264761092460732
