arr ; signal ; dist ; angle ; pNoise ; pSigna ; snr_DB ; K_True ; K_Estim ; Dist_Estim
A4 ; CH ; 40 ; 00 ; [1.5322026004795648e-05, 1.9121658426080942e-05, 1.7616548430753585e-05, 1.9274164201431327e-05, 2.0910065520744674e-05, 2.434731261009204e-05, 2.2083476292268282e-05, 1.9162520826751546e-05] ; [0.0002729723471497229, 0.00030338497512663647, 0.00020220502813796947, 0.00040880922294367605, 0.00030977262637801113, 0.00023980438444870243, 0.00023837359213687914, 0.00013929246645580967] ; [28.800790962500823, 27.570603204746998, 24.35097397671017, 30.392151382645718, 26.846165712177417, 22.50961332711215, 23.530184316656268, 19.58940677580997] ; 0.4214618865807669 ; 0.010220398557026956 ; 40.0 ; 6.427338005534963
A4 ; CH ; 40 ; 22,5 ; [1.6277932332846208e-05, 1.86548861893232e-05, 1.7000424974091213e-05, 2.4584170665548988e-05, 1.9246111240818e-05, 2.4429192956784735e-05, 2.5520981016460106e-05, 2.1101322878991677e-05] ; [0.00019805846505002513, 0.00020676079213844168, 0.00028146042234578235, 0.00021176643523631517, 0.0002373848896884406, 0.0002090139408727124, 0.00028714539853733393, 0.0003297013180030204] ; [24.987519192125404, 23.952455465134896, 28.030501797811365, 21.153585465722816, 24.99157480810822, 21.04555197392719, 23.955660119854556, 27.374459156257124] ; 0.3937359761094511 ; 0.032128088148793726 ; 40.0 ; 11.585500635947291
A4 ; CH ; 40 ; 45 ; [1.4405262477020984e-05, 1.7895750568069194e-05, 1.7299667697694018e-05, 2.283104581068297e-05, 1.8460859416002786e-05, 2.389352401209591e-05, 2.2461077718052385e-05, 1.8344905580973635e-05] ; [0.0001498010392634577, 0.0003233066480184424, 0.00018346506228452585, 0.00028048603418238895, 0.0001662426824117218, 0.00016447036627656716, 0.00019611048759848507, 0.0002758475006325503] ; [23.41714419117768, 28.877872332007826, 23.5554953468569, 24.818950110894594, 21.79649167995538, 18.76562394072944, 21.346618199111838, 26.986421595872937] ; 0.3475428650860444 ; 0.015116254724361757 ; 40.0 ; 8.57576603378082
A4 ; CH ; 40 ; 67,5 ; [1.300752148712086e-05, 1.712371384461101e-05, 1.652115502984592e-05, 2.2208299860461858e-05, 1.6099175527870253e-05, 2.3822460428427098e-05, 2.01780735977281e-05, 1.751296804923899e-05] ; [0.0001060883931387694, 0.00021157803928655697, 0.00014976412528244887, 0.00010086420389335809, 0.00019780196872423557, 0.00019533667444764482, 0.00018651239967576802, 0.0002160678683332337] ; [20.98744878064863, 25.049768735153997, 21.976458374225114, 14.399201071350252, 24.952303265938916, 20.601605851243363, 21.93482243533641, 24.981846069360742] ; 0.2722357217033331 ; 0.016232393117412276 ; 40.0 ; 10.049612748188581
A4 ; CH ; 40 ; 90 ; [1.1054188304113341e-05, 1.3283055662216554e-05, 1.2106224190981788e-05, 1.6192635057353177e-05, 1.2193344403405614e-05, 1.6833214969550678e-05, 1.660077892990982e-05, 1.3620399597949478e-05] ; [0.00011066393030165497, 0.00016903714209034142, 0.0002618082808192688, 0.00022590015319117634, 0.00017566063288830481, 0.00017220639187267604, 0.00015961455421241747, 0.00024423047074446073] ; [23.036885655570988, 25.34743739119651, 30.710588608992126, 26.12230715324319, 26.563590582736825, 22.902796253473753, 22.34086201216375, 28.766126313930393] ; 0.3034825999538706 ; 0.0075247172251017335 ; 40.0 ; 6.452815329533932
A4 ; CH ; 60 ; 00 ; [5.549331294395273e-06, 8.540813722910252e-06, 6.497244008662722e-06, 8.675135187843893e-06, 7.686528123630984e-06, 8.39377630801359e-06, 9.477946090301465e-06, 7.165633783502437e-06] ; [7.624820139043919e-05, 9.971621242887595e-05, 0.00011366207969532083, 0.00013843086171532566, 8.670042716487069e-05, 0.00015102906524015977, 0.00012950371750830106, 7.73178708336019e-05] ; [26.20316393884409, 24.477830905945787, 28.58347300028393, 27.49564652910773, 24.08528573429219, 28.701989048967846, 25.942655278282444, 23.620702836007872] ; 0.39340629739310773 ; 0.004415856586561054 ; 60.0 ; 6.51080125925414
A4 ; CH ; 60 ; 22,5 ; [1.4930056225591045e-05, 1.8347140335141856e-05, 1.5367516424302173e-05, 1.9771208514854913e-05, 1.6879636986317058e-05, 2.0703048379571574e-05, 2.1666277818917413e-05, 1.938157848524833e-05] ; [7.86393293996905e-05, 4.159633076745657e-05, 8.63079125040056e-05, 5.91450964127358e-05, 6.983668069089264e-05, 6.625511975010895e-05, 9.445959307072117e-05, 5.433026151564912e-05] ; [16.61495570840514, 7.676093501149004, 17.147087420503343, 9.8211594713763, 13.801236464248728, 10.465481248361, 14.067862832314313, 9.65460240291695] ; 0.24821776918807822 ; 0.0024116542888894758 ; 60.00000000000001 ; 6.056086678903284
A4 ; CH ; 60 ; 45 ; [1.7822042137384128e-06, 2.2376927443923263e-06, 2.096417877662183e-06, 2.852496479778027e-06, 1.8932665815671315e-06, 2.4359272695893723e-06, 2.480896802791095e-06, 2.1436563763269196e-06] ; [0.00011824292791568034, 6.471516353349364e-05, 6.685103534090593e-05, 7.963152317646996e-05, 6.391941621678136e-05, 4.324506242524273e-05, 8.822099349388825e-05, 0.00010590669547682775] ; [41.94890298833456, 33.60650094841973, 34.60315656126135, 33.176366166409, 35.14511346405723, 28.565025881294225, 35.63406468869633, 38.96452471914917] ; 0.28414825309444264 ; 0.004894620879559485 ; 60.00000000000001 ; 8.145452601779812
A4 ; CH ; 60 ; 67,5 ; [2.160922941424653e-05, 3.5574969933144044e-05, 3.227612919233547e-05, 3.382604882610954e-05, 3.503586131818121e-05, 4.719159048346304e-05, 3.641545680986463e-05, 3.659319987167268e-05] ; [3.9120149632037316e-05, 7.579034175477398e-05, 8.735820189210206e-05, 7.907214480829261e-05, 7.419916156528136e-05, 7.829483699479378e-05, 0.00010037982266726657, 8.857227966160992e-05] ; [5.935171589838049, 7.020404787659389, 9.728183042007357, 7.012319384932438, 6.708331486131799, 2.674507263700514, 9.080885608106605, 8.079313107790702] ; 0.2805261653566221 ; 0.013011749855133972 ; 60.00000000000001 ; 13.25153120662577
A4 ; CH ; 60 ; 90 ; [1.2247528092409938e-05, 1.4352895818176138e-05, 1.3388672587649735e-05, 1.7663520336523614e-05, 1.3995405162121158e-05, 1.8404990139616824e-05, 1.8669640017435517e-05, 1.499998593608696e-05] ; [8.542300032941234e-05, 8.635907123463494e-05, 6.006233203997657e-05, 0.0001204607480933608, 8.97123256837106e-05, 7.469483932948344e-05, 8.869801423986762e-05, 8.154921358897253e-05] ; [19.422912609794928, 17.75675037923531, 14.872378935917913, 18.71551606230397, 18.322913628008855, 13.099386153540944, 14.982793087604387, 16.60021620557264] ; 0.30945807399226866 ; 0.004743954636549998 ; 60.0 ; 7.526032560259958
