Array 	 Signal 	 Distance 	 Angle 	 Channel 	 Pnoise[W] 	 Psignal[W] 	 SNR_FAC 	 SNR_DB[db]
A4 	 SX 	 10 	 00 	 6 	 2.3822677810482444e-05 	 0.0018495124441382938 	 77.63663089648436 	 43.52039363444845
A4 	 SX 	 10 	 00 	 7 	 2.5326560089348318e-05 	 0.0016825182044136497 	 66.43295411923202 	 41.96193230344163
A4 	 SX 	 10 	 22,5 	 average 	 5.850173788641329e-06 	 0.0024644460868844496 	 420.7579372768968 	 59.81381023188206
A4 	 SX 	 10 	 22,5 	 1 	 6.0329323167281826e-06 	 0.0034542227451486757 	 572.5611632623107 	 63.50119565114583
A4 	 SX 	 10 	 22,5 	 2 	 5.9883404682055645e-06 	 0.0039363284187812625 	 657.3321005511904 	 64.88189371063488
A4 	 SX 	 10 	 22,5 	 3 	 5.726552829817211e-06 	 0.003167804197948693 	 553.1782019812097 	 63.15680195509582
A4 	 SX 	 10 	 22,5 	 4 	 6.156031646332126e-06 	 0.0018247055943921436 	 296.40939150781264 	 56.917415781689954
A4 	 SX 	 10 	 22,5 	 5 	 5.718314795942301e-06 	 0.0022092351806269274 	 386.34374976952904 	 59.56727516610656
A4 	 SX 	 10 	 22,5 	 6 	 4.77115881959927e-06 	 0.0013734945495950707 	 287.8744140632968 	 56.625243227529225
A4 	 SX 	 10 	 22,5 	 7 	 6.531953375211924e-06 	 0.001508469552122738 	 230.93697481785793 	 54.42144837008874
A4 	 SX 	 10 	 45 	 average 	 1.916297916114795e-05 	 0.002571436226861861 	 136.5526467734719 	 48.531085117373
A4 	 SX 	 10 	 45 	 1 	 1.7333833140637312e-05 	 0.002433644359173922 	 140.39851078689017 	 49.44484884604475
A4 	 SX 	 10 	 45 	 2 	 1.9616507513029947e-05 	 0.003462191283882329 	 176.49376585422368 	 51.732855548103096
A4 	 SX 	 10 	 45 	 3 	 1.9002783892778853e-05 	 0.0037645905626346584 	 198.10731858426388 	 52.88808896910354
A4 	 SX 	 10 	 45 	 4 	 2.0738689297590296e-05 	 0.0018307999952569011 	 88.27944567690825 	 44.805073022218835
A4 	 SX 	 10 	 45 	 5 	 1.627038501073847e-05 	 0.0030640433007864116 	 188.32027015735278 	 52.3814407807632
A4 	 SX 	 10 	 45 	 6 	 1.866735868559574e-05 	 0.0014150836360936323 	 75.80524164811547 	 43.28167441288051
A4 	 SX 	 10 	 45 	 7 	 2.228872585220214e-05 	 0.0018353936112779237 	 82.34627781994034 	 44.10933256087127
A4 	 SX 	 10 	 67,5 	 average 	 1.802178982640969e-05 	 0.002471792068812717 	 136.92427808605905 	 48.65783125377408
A4 	 SX 	 10 	 67,5 	 1 	 1.6523016162793205e-05 	 0.00285848426550822 	 173.00014944880348 	 51.53292458363322
A4 	 SX 	 10 	 67,5 	 2 	 1.9215247317245176e-05 	 0.003926186244408369 	 204.3266047835211 	 53.19719717444621
A4 	 SX 	 10 	 67,5 	 3 	 1.9078671770823683e-05 	 0.0032754772430413997 	 171.68266650776326 	 51.45647810610345
A4 	 SX 	 10 	 67,5 	 4 	 1.680440730266475e-05 	 0.0017689268179180882 	 105.26564763980585 	 46.5648713267408
A4 	 SX 	 10 	 67,5 	 5 	 1.812728627306759e-05 	 0.0024486939367375504 	 135.08331582845193 	 49.0589174236187
A4 	 SX 	 10 	 67,5 	 6 	 1.8344237733224954e-05 	 0.0018501101357262734 	 100.85511115980398 	 46.136849439271366
A4 	 SX 	 10 	 67,5 	 7 	 1.8810730561025505e-05 	 0.0012561423565097683 	 66.77796763047608 	 42.013732002470014
A4 	 SX 	 10 	 90 	 average 	 5.7016780482784e-06 	 0.002387713125459129 	 418.5786380397599 	 60.031073681372646
A4 	 SX 	 10 	 90 	 1 	 5.05224218864855e-06 	 0.0016326570066797124 	 323.1549370986192 	 57.78131889632175
A4 	 SX 	 10 	 90 	 2 	 5.849194666608969e-06 	 0.003919095541554195 	 670.0230997485785 	 65.0731218902737
A4 	 SX 	 10 	 90 	 3 	 5.920495517397094e-06 	 0.0026199456773151283 	 442.52135139981823 	 60.92488715034907
A4 	 SX 	 10 	 90 	 4 	 5.584486131911729e-06 	 0.002137362068121332 	 382.73209345219595 	 59.47335249517057
A4 	 SX 	 10 	 90 	 5 	 5.473677824522301e-06 	 0.0026755643697273655 	 488.80559936149837 	 61.91964863113988
A4 	 SX 	 10 	 90 	 6 	 5.452422580317254e-06 	 0.001834600509601523 	 336.474380438571 	 58.185220107883296
A4 	 SX 	 10 	 90 	 7 	 6.467199780023562e-06 	 0.0018238570539165202 	 282.016501106121 	 56.419655837869165
A4 	 SX 	 20 	 00 	 average 	 9.065135297281986e-06 	 0.000212651049035513 	 23.861790041001072 	 30.358428578785226
A4 	 SX 	 20 	 00 	 1 	 8.384170916864783e-06 	 0.0003437682359048267 	 41.00205486189886 	 37.13622184031313
A4 	 SX 	 20 	 00 	 2 	 9.349758235174935e-06 	 0.00018771743567495288 	 20.07725022971577 	 29.99587344695081
A4 	 SX 	 20 	 00 	 3 	 8.755186478603674e-06 	 0.0001562128019951537 	 17.84231579497635 	 28.81572927862832
A4 	 SX 	 20 	 00 	 4 	 8.325447051059651e-06 	 0.00012087417236150915 	 14.518640455004089 	 26.75433372437371
A4 	 SX 	 20 	 00 	 5 	 8.763276648539183e-06 	 0.0004717581146884429 	 53.833529809547194 	 39.85896503700892
A4 	 SX 	 20 	 00 	 6 	 9.404604565183827e-06 	 0.00013724762565530988 	 14.593662572842813 	 26.80587364125252
A4 	 SX 	 20 	 00 	 7 	 9.577777666255044e-06 	 0.00013757434355719802 	 14.363910747469902 	 26.647188627180974
A4 	 SX 	 20 	 22,5 	 average 	 1.5071577499676825e-05 	 0.0002275186117667516 	 15.281558888956754 	 25.57485609605481
A4 	 SX 	 20 	 22,5 	 1 	 1.4369973712928686e-05 	 0.00023706256649711114 	 16.49707725518145 	 28.031832291664827
A4 	 SX 	 20 	 22,5 	 2 	 1.6691222551042096e-05 	 9.574969774040744e-05 	 5.736529930483099 	 17.468544857947606
A4 	 SX 	 20 	 22,5 	 3 	 1.4162289175661164e-05 	 0.0003932819311786564 	 27.76965830174811 	 33.239439966606554
A4 	 SX 	 20 	 22,5 	 4 	 1.3655810827586175e-05 	 0.00011825798104565831 	 8.659901820459078 	 21.58703385380641
A4 	 SX 	 20 	 22,5 	 5 	 1.361910789843795e-05 	 0.00032529840376348723 	 23.885441409917714 	 31.732691273040977
A4 	 SX 	 20 	 22,5 	 6 	 1.4996698388297433e-05 	 7.010670507989042e-05 	 4.674809298998618 	 15.421883702505983
A4 	 SX 	 20 	 22,5 	 7 	 1.6286273290472066e-05 	 0.00025123507087731074 	 15.426185376877497 	 27.360664146104497
A4 	 SX 	 20 	 45 	 average 	 9.123284331704136e-06 	 0.00021786594666274204 	 23.96777419082923 	 30.25229166458
A4 	 SX 	 20 	 45 	 1 	 7.915521357082599e-06 	 0.0002587180659002464 	 32.6849052929094 	 34.86913359490031
A4 	 SX 	 20 	 45 	 2 	 8.936313187995434e-06 	 0.00018341778093269184 	 20.52499471248227 	 30.216433977249274
A4 	 SX 	 20 	 45 	 3 	 9.75963490134953e-06 	 0.0003803840239424399 	 38.97523091666489 	 36.62926339664323
A4 	 SX 	 20 	 45 	 4 	 1.0157021421372918e-05 	 0.0003172802383142124 	 31.237527730971927 	 34.41620183906877
A4 	 SX 	 20 	 45 	 5 	 8.533854375380513e-06 	 0.0001337413474328973 	 15.67185723472507 	 27.51866571024756
A4 	 SX 	 20 	 45 	 6 	 9.061629412388001e-06 	 0.00015489717714558366 	 17.09374441354072 	 28.38712572809227
A4 	 SX 	 20 	 45 	 7 	 9.950155116717876e-06 	 4.796029474170761e-05 	 4.820054981969729 	 15.72785335045111
A4 	 SX 	 20 	 67,5 	 average 	 1.095603803499905e-05 	 0.00017631382303048636 	 15.967624532805019 	 27.069471615892105
A4 	 SX 	 20 	 67,5 	 1 	 1.016570124360394e-05 	 0.00019364967021577288 	 19.049317462247224 	 29.470312721774185
A4 	 SX 	 20 	 67,5 	 2 	 1.1053784752514315e-05 	 9.545210096726433e-05 	 8.635241512691172 	 21.55851680251079
A4 	 SX 	 20 	 67,5 	 3 	 1.0861824021466448e-05 	 0.00017207809279553405 	 15.842467384433089 	 27.626941434747753
A4 	 SX 	 20 	 67,5 	 4 	 9.94270919974099e-06 	 9.719030807528762e-05 	 9.775032752423199 	 22.798314564973452
A4 	 SX 	 20 	 67,5 	 5 	 1.1257242034635888e-05 	 0.0001166636657935289 	 10.363432307361098 	 23.382834857616857
A4 	 SX 	 20 	 67,5 	 6 	 1.0968243243606708e-05 	 0.00020686948642547375 	 18.86076756604173 	 29.370839744705776
A4 	 SX 	 20 	 67,5 	 7 	 1.1899319690876284e-05 	 0.0002577619727006583 	 21.661908360886834 	 30.755553429959015
A4 	 SX 	 20 	 90 	 average 	 9.421433258071482e-06 	 0.00019697014995503868 	 20.99963439038581 	 30.354040141159103
A4 	 SX 	 20 	 90 	 1 	 9.568814388818007e-06 	 0.0001702647571551443 	 17.793715107914885 	 28.788453111242625
A4 	 SX 	 20 	 90 	 2 	 1.023729117051032e-05 	 0.00019139984027976463 	 18.696336471420643 	 29.283275940483318
A4 	 SX 	 20 	 90 	 3 	 9.69814510054363e-06 	 0.00018231706347294612 	 18.799168457762747 	 29.33812637887619
A4 	 SX 	 20 	 90 	 4 	 8.41460337986442e-06 	 0.0001657576624510214 	 19.698808721949792 	 29.80558162948485
A4 	 SX 	 20 	 90 	 5 	 8.574179084062654e-06 	 0.00021061965049469443 	 24.56441000703915 	 32.012986477070726
A4 	 SX 	 20 	 90 	 6 	 9.106615339846638e-06 	 0.00021784774570021104 	 23.921922423471962 	 31.74795294727272
A4 	 SX 	 20 	 90 	 7 	 1.0298665996311448e-05 	 0.00019691331300355523 	 19.120273739733026 	 29.507492244524126
A4 	 SX 	 40 	 00 	 average 	 1.1759181178704769e-05 	 0.00021393731923883386 	 18.502562804437847 	 28.734757407989775
A4 	 SX 	 40 	 00 	 1 	 1.1036682835886032e-05 	 0.000319914073066545 	 28.98643349850889 	 33.66827910132807
A4 	 SX 	 40 	 00 	 2 	 1.3612622685376568e-05 	 0.00018891170042222802 	 13.877685791230181 	 26.30282211439251
A4 	 SX 	 40 	 00 	 3 	 1.1486458599052916e-05 	 0.0002260619583579637 	 19.680735921217966 	 29.79640285295787
A4 	 SX 	 40 	 00 	 4 	 1.0400425237389606e-05 	 0.00020769097352133777 	 19.969469399644083 	 29.942045772021338
A4 	 SX 	 40 	 00 	 5 	 1.1328454459157768e-05 	 0.00024917082376494824 	 21.995129579527237 	 30.908210461007762
A4 	 SX 	 40 	 00 	 6 	 1.1314131351845171e-05 	 0.00021049646241426133 	 18.604739141545533 	 29.23416340821256
A4 	 SX 	 40 	 00 	 7 	 1.2599910156218099e-05 	 0.0001253345864489005 	 9.947260329237146 	 22.972971694611772
A4 	 SX 	 40 	 22,5 	 average 	 8.045331930372106e-06 	 0.00015904577797590442 	 19.791800734113778 	 29.620564093756997
A4 	 SX 	 40 	 22,5 	 1 	 7.68868286993971e-06 	 0.00020237674617664534 	 26.321380345634186 	 32.703815498248794
A4 	 SX 	 40 	 22,5 	 2 	 8.182227577783243e-06 	 0.00021847012886496564 	 26.70056861510008 	 32.846848616251336
A4 	 SX 	 40 	 22,5 	 3 	 8.08408829393338e-06 	 0.00016347314974425172 	 20.221593802597187 	 30.06751033561973
A4 	 SX 	 40 	 22,5 	 4 	 7.640191474462187e-06 	 0.00011684713770911516 	 15.293744679002346 	 27.274439002890357
A4 	 SX 	 40 	 22,5 	 5 	 8.177425317180676e-06 	 0.00011486285149135748 	 14.046334516810806 	 26.423614732592178
A4 	 SX 	 40 	 22,5 	 6 	 7.336274905713939e-06 	 0.00013828746163680323 	 18.849820026386485 	 29.365033661766358
A4 	 SX 	 40 	 22,5 	 7 	 8.443409264204771e-06 	 0.0001624930864279974 	 19.244961524828035 	 29.572492875041988
A4 	 SX 	 40 	 45 	 average 	 8.230548182438964e-06 	 0.00018587537820509146 	 22.66969817955699 	 30.6669318529113
A4 	 SX 	 40 	 45 	 1 	 7.803157385302337e-06 	 0.0002387334817443513 	 30.594472206086543 	 34.20819345779809
A4 	 SX 	 40 	 45 	 2 	 8.907583772742479e-06 	 0.00017297588478437585 	 19.418945608312793 	 29.662491672755436
A4 	 SX 	 40 	 45 	 3 	 8.199041176598929e-06 	 0.0002904041951107568 	 35.41928731125367 	 35.672565110696375
A4 	 SX 	 40 	 45 	 4 	 8.163764735749548e-06 	 0.0002036338294265638 	 24.943618050976006 	 32.16617999937763
A4 	 SX 	 40 	 45 	 5 	 8.235935492407746e-06 	 0.0001475553714088833 	 17.916042633518252 	 28.856965479759715
A4 	 SX 	 40 	 45 	 6 	 7.917448250248476e-06 	 0.00011002699661448212 	 13.896774962947072 	 26.316567961623576
A4 	 SX 	 40 	 45 	 7 	 8.452110787713638e-06 	 0.0001134578402846283 	 13.42361016487806 	 25.970151091421265
