arr ; signal ; angle ; dist ; pNoise ; pSigna ; snr_DB ; TDOA_real1 ; TDOA_real2 ; TDOA_CSOM1 ; TDOA_CSOM2 ; angleReal ; angleLIN ; angleNOL ; distanceReal ; distanceLIN ; distanceNOL
A4 ; CH ; 00 ; 40 ; [1.5322026004795648e-05, 1.696905385113082e-05, 1.653843187233778e-05, 1.3079910918538268e-05, 1.7523890511364025e-05, 1.576597399935141e-05, 1.5967711985816507e-05, 1.576702213202996e-05] ; [0.0002729723471497229, 0.00026732139041995255, 0.00018881812960848328, 0.0002732241918558499, 0.0002567702441019432, 0.0001497272650625553, 0.00016793669855982155, 0.00011181673422494434] ; [28.800790962500823, 27.570603204746998, 24.35097397671017, 30.392151382645718, 26.846165712177413, 22.509613327112152, 23.530184316656275, 19.589406775809973] ; -0.0026214125414317493 ; -0.0026214213955536047 ; -0.000125 ; -7.291666666666667e-05 ; 0.0 ; nan ; nan ; 40.0 ; nan ; nan
A4 ; CH ; 22,5 ; 40 ; [1.6277932332846208e-05, 1.655482810536854e-05, 1.596001460444826e-05, 1.668340888616291e-05, 1.61293969078685e-05, 1.5818995186440458e-05, 1.8453239384643484e-05, 1.7362278577863517e-05] ; [0.000198058465050025, 0.00018162122447735492, 0.00026325856520289663, 0.0001383481441943108, 0.00019633079825378047, 0.00012977038795710822, 0.00020251337696752984, 0.0002682034597707879] ; [24.987519192125394, 23.952455465134893, 28.030501797811368, 21.15358546572282, 24.99157480810823, 21.04555197392719, 23.955660119854564, 27.37445915625713] ; -0.002405970621330099 ; -0.002415044618378477 ; 0.00013541666666666666 ; 0.0001875 ; 22.5 ; 86.43085535017406 ; 89.39135945134737 ; 40.0 ; 44.98859689688826 ; 37.678606342283715
A4 ; CH ; 45 ; 40 ; [1.4405262477020989e-05, 1.5881151536614402e-05, 1.624094394864136e-05, 1.5493696238129116e-05, 1.5471308725970713e-05, 1.5472125583643996e-05, 1.6240741047570943e-05, 1.5094284041242415e-05] ; [0.0001498010392634577, 0.0002851228674686544, 0.00017124323841355673, 0.00018536526019360304, 0.00013681592738626173, 0.0001010486869380083, 0.000137302261601955, 0.0002242941346098138] ; [23.417144191177677, 28.877872332007833, 23.55549534685691, 24.818950110894598, 21.796491679955373, 18.765623940729444, 21.34661819911184, 26.986421595872933] ; -0.0018226678996139628 ; -0.001852414237577387 ; 0.00078125 ; 0.0006354166666666666 ; 45.0 ; nan ; nan ; 40.0 ; nan ; nan
A4 ; CH ; 67,5 ; 40 ; [1.3007521487120851e-05, 1.5196026196359201e-05, 1.5510075539908102e-05, 1.507108587387957e-05, 1.3492075813619074e-05, 1.5426108734459632e-05, 1.4589988612885934e-05, 1.4409761498831684e-05] ; [0.00010608839313876943, 0.00018604914006865503, 0.00013964949622864053, 6.360538728586336e-05, 0.0001635850212672691, 0.00012105222104648929, 0.00013081941040357824, 0.00017522843502836368] ; [20.987448780648638, 25.04976873515399, 21.97645837422511, 14.39920107135025, 24.952303265938923, 20.60160585124335, 21.934822435336407, 24.981846069360742] ; -0.0009668137057452428 ; -0.0010167862252711557 ; 0.001625 ; 0.0015208333333333332 ; 67.5 ; nan ; nan ; 40.0 ; nan ; nan
A4 ; CH ; 90 ; 40 ; [1.1054188304113338e-05, 1.1787726870608983e-05, 1.136533440706666e-05, 1.098871120288842e-05, 1.0218754794462434e-05, 1.0900259662556069e-05, 1.2003384484616591e-05, 1.1206935864521466e-05] ; [0.00011066393030165493, 0.00014868093492897982, 0.0002450903068611192, 0.00014976976379432882, 0.0001455593337457496, 0.00010766948778530636, 0.00011208694352561541, 0.0001989682952423194] ; [23.036885655570988, 25.3474373911965, 30.710588608992126, 26.122307153243188, 26.563590582736825, 22.902796253473753, 22.340862012163743, 28.766126313930393] ; 2.9132637832451503e-05 ; -2.9132637832451503e-05 ; 0.000125 ; 8.333333333333333e-05 ; 90.0 ; nan ; nan ; 40.0 ; nan ; nan
A4 ; CH ; 00 ; 60 ; [5.54933129439527e-06, 7.579338819213759e-06, 6.099618652178095e-06, 5.887155171939875e-06, 6.441772127275124e-06, 5.435345623059055e-06, 6.853138128439313e-06, 5.895920869491218e-06] ; [7.624820139043922e-05, 8.763750621302754e-05, 0.00010633277392580728, 9.205051855013797e-05, 7.16169838705914e-05, 9.588235925049005e-05, 9.174125748586602e-05, 6.257282117832724e-05] ; [26.203163938844092, 24.477830905945783, 28.583473000283924, 27.49564652910773, 24.085285734292192, 28.701989048967835, 25.942655278282448, 23.620702836007872] ; -0.002621524998555801 ; -0.0026215276215896103 ; -0.00016666666666666666 ; -4.1666666666666665e-05 ; 0.0 ; nan ; nan ; 60.0 ; nan ; nan
A4 ; CH ; 22,5 ; 60 ; [1.4930056225591045e-05, 1.6281726481246714e-05, 1.4427038555786005e-05, 1.3417217131881816e-05, 1.4146149380848841e-05, 1.3406149897806158e-05, 1.5666051822569418e-05, 1.5947263916549654e-05] ; [7.863932939969047e-05, 3.5080757272385054e-05, 8.014302616570477e-05, 3.5825312260710965e-05, 5.623650520966986e-05, 3.817808554277228e-05, 6.396156461950438e-05, 4.1877450738261133e-05] ; [16.61495570840514, 7.676093501149007, 17.14708742050334, 9.821159471376305, 13.801236464248714, 10.465481248361, 14.067862832314313, 9.654602402916957] ; -0.002411424109352463 ; -0.002417376024918126 ; 0.00010416666666666667 ; 0.00023958333333333332 ; 22.5 ; 86.12900830964253 ; nan ; 60.00000000000001 ; 54.64072926668741 ; nan
A4 ; CH ; 45 ; 60 ; [1.7822042137384128e-06, 1.9857863703959337e-06, 1.96811903205399e-06, 1.935772646793674e-06, 1.5866710819864186e-06, 1.577371868989691e-06, 1.7938410189237595e-06, 1.7638116526834508e-06] ; [0.00011824292791568034, 5.720636033675863e-05, 6.263936640034676e-05, 5.341775407864111e-05, 5.3311363575658205e-05, 2.7447159297443397e-05, 6.32924222545241e-05, 8.682804347046527e-05] ; [41.94890298833456, 33.60650094841973, 34.60315656126134, 33.176366166409, 35.145113464057246, 28.565025881294225, 35.63406468869633, 38.96452471914917] ; -0.0018330958671422869 ; -0.0018528708491072428 ; 0.00071875 ; 0.0006770833333333334 ; 45.0 ; nan ; nan ; 60.00000000000001 ; nan ; nan
A4 ; CH ; 67,5 ; 60 ; [2.1609229414246534e-05, 3.157014768784392e-05, 3.0300859776728594e-05, 2.2955169456260127e-05, 2.936215561362222e-05, 3.055866577414046e-05, 2.633061563660791e-05, 3.0109075808700242e-05] ; [3.9120149632037316e-05, 6.370432517642898e-05, 8.01575755530976e-05, 4.628301736685286e-05, 5.742844681922553e-05, 3.9928846415684626e-05, 6.528882677614374e-05, 6.754256278716565e-05] ; [5.935171589838046, 7.020404787659389, 9.728183042007366, 7.012319384932438, 6.708331486131799, 2.6745072637005105, 9.080885608106598, 8.079313107790691] ; -0.0009789367917145153 ; -0.0010123354092998172 ; 0.0016041666666666667 ; 0.0015416666666666667 ; 67.5 ; nan ; nan ; 60.00000000000001 ; nan ; nan
A4 ; CH ; 90 ; 60 ; [1.2247528092409938e-05, 1.2737130673043765e-05, 1.2569298141588872e-05, 1.1986889293615169e-05, 1.1728989920183467e-05, 1.191805439255093e-05, 1.3499298332013855e-05, 1.2342066702636112e-05] ; [8.542300032941234e-05, 7.520339985752782e-05, 5.561734308704531e-05, 7.789525969543692e-05, 7.32849238912188e-05, 4.416766859045139e-05, 6.0395646072350736e-05, 6.491216867414956e-05] ; [19.422912609794928, 17.756750379235307, 14.872378935917926, 18.715516062303973, 18.32291362800885, 13.099386153540939, 14.982793087604387, 16.600216205572636] ; 1.9501750791447813e-05 ; -1.9501750791447813e-05 ; 0.000125 ; 8.333333333333333e-05 ; 90.0 ; nan ; nan ; 60.0 ; nan ; nan
